state,year,sex,abs,deaths_per_100k
Selangor,2009,male,10637,379.2562484
Terengganu,2009,female,2487,488.221437
Terengganu,2009,male,3491,657.0675701
W.P. Kuala Lumpur,2009,female,2662,329.4962248
W.P. Kuala Lumpur,2009,male,3808,450.7042254
W.P. Labuan,2009,female,94,225.4196643
W.P. Labuan,2009,male,153,343.0493274
Johor,2010,female,6539,411.6202946
Johor,2010,male,9521,536.5757439
Kedah,2010,female,5073,526.4632628
Kedah,2010,male,6601,669.6763721
Kelantan,2010,female,4208,531.8503539
Kelantan,2010,male,5590,699.8873169
Melaka,2010,female,1951,477.2504892
Melaka,2010,male,2530,609.9324976
Negeri Sembilan,2010,female,2377,477.7889447
Negeri Sembilan,2010,male,3437,646.0526316
Pahang,2010,female,3053,433.8496518
Pahang,2010,male,4669,584.9411175
Perak,2010,female,6609,562.7075351
Perak,2010,male,8831,733.1672893
Perlis,2010,female,729,608.0066722
Perlis,2010,male,954,823.1233822
Pulau Pinang,2010,female,4059,516.9383597
Pulau Pinang,2010,male,5004,632.8569622
Sabah,2010,female,3048,195.2594491
Sabah,2010,male,4574,269.2330331
Sarawak,2010,female,4445,370.6637759
Sarawak,2010,male,5951,462.1059171
Selangor,2010,female,7765,293.2734071
Selangor,2010,male,10793,378.1179933
Terengganu,2010,female,2436,471.4534546
Terengganu,2010,male,3428,636.2286563
W.P. Kuala Lumpur,2010,female,2639,322.3009282
W.P. Kuala Lumpur,2010,male,3826,447.0148382
W.P. Labuan,2010,female,99,231.8501171
W.P. Labuan,2010,male,144,316.4835165
W.P. Putrajaya,2010,female,43,110.2564103
W.P. Putrajaya,2010,male,52,151.1627907
Johor,2011,female,6875,426.7535692
Johor,2011,male,9604,533.7334667
Kedah,2011,female,5025,515.5432441
Kedah,2011,male,6844,686.3217008
Kelantan,2011,female,4400,546.3123914
Kelantan,2011,male,5624,691.4187362
Melaka,2011,female,1964,474.3961353
Melaka,2011,male,2642,630.2480916
Negeri Sembilan,2011,female,2454,484.6928698
Negeri Sembilan,2011,male,3431,634.0787285
Pahang,2011,female,3080,431.2517502
Pahang,2011,male,4732,582.3283288
Perak,2011,female,6970,587.4915711
Perak,2011,male,9042,743.4021212
Perlis,2011,female,732,610
Perlis,2011,male,905,770.8688245
Pulau Pinang,2011,female,3960,495.991984
Pulau Pinang,2011,male,5147,641.3707165
Sabah,2011,female,3246,202.9257314
Sabah,2011,male,4849,277.7523199
Sarawak,2011,female,4804,394.0288714
Sarawak,2011,male,6314,482.4635134
Selangor,2011,female,8087,300.2636171
Selangor,2011,male,11265,387.5128999
Terengganu,2011,female,2691,510.626186
Terengganu,2011,male,3518,637.3188406
W.P. Kuala Lumpur,2011,female,2875,347.2222222
W.P. Kuala Lumpur,2011,male,4052,468.4393064
W.P. Labuan,2011,female,81,186.2068966
W.P. Labuan,2011,male,137,298.4749455
W.P. Putrajaya,2011,female,50,121.9512195
W.P. Putrajaya,2011,male,63,173.0769231
Johor,2012,female,7212,442.8071468
Johor,2012,male,9989,548.3339738
Kedah,2012,female,5209,526.7468905
Kedah,2012,male,7059,697.3918198
Kelantan,2012,female,4301,523.6182128
Kelantan,2012,male,5589,673.6981678
Melaka,2012,female,1987,476.1562425
Melaka,2012,male,2588,607.654379
Negeri Sembilan,2012,female,2519,494.6975648
Negeri Sembilan,2012,male,3376,615.3846154
Pahang,2012,female,3078,425.7261411
Pahang,2012,male,4713,571.8966145
Perak,2012,female,7080,590.9356481
Perak,2012,male,9315,758.0566406
Perlis,2012,female,778,645.1077944
Perlis,2012,male,877,738.2154882
Pulau Pinang,2012,female,4055,501.0502904
Pulau Pinang,2012,male,5078,623.9095712
Sabah,2012,female,3287,200.2436796
Sabah,2012,male,4779,266.7894825
Sarawak,2012,female,4827,389.7141934
Sarawak,2012,male,6419,482.2327398
Selangor,2012,female,8834,322.0326626
Selangor,2012,male,12186,411.8004866
Terengganu,2012,female,2585,483.2679005
Terengganu,2012,male,3592,642.3462089
W.P. Kuala Lumpur,2012,female,2904,348.1179573
W.P. Kuala Lumpur,2012,male,4092,471.4828897
W.P. Labuan,2012,female,98,220.2247191
W.P. Labuan,2012,male,144,312.3644252
W.P. Putrajaya,2012,female,73,175.9036145
W.P. Putrajaya,2012,male,69,187.5
Johor,2013,female,7335,446.1407457
Johor,2013,male,10361,566.082063
Kedah,2013,female,5420,539.2498259
Kedah,2013,male,7096,685.8689349
Kelantan,2013,female,4407,526.7750418
Kelantan,2013,male,5635,665.367812
Melaka,2013,female,2078,489.863272
Melaka,2013,male,2669,617.2525439
Negeri Sembilan,2013,female,2584,501.7475728
Negeri Sembilan,2013,male,3629,651.4090827
Pahang,2013,female,3184,435.3890332
Pahang,2013,male,4962,592.4776119
Perak,2013,female,7092,587.3291925
Perak,2013,male,9294,749.6975075
Perlis,2013,female,793,652.1381579
Perlis,2013,male,948,786.7219917
Pulau Pinang,2013,female,4159,502.8412526
Pulau Pinang,2013,male,5379,643.8061041
Sabah,2013,female,3417,198.3744557
Sabah,2013,male,4836,256.0084701
Sarawak,2013,female,4804,379.8829669
Sarawak,2013,male,6427,466.4344292
Selangor,2013,female,9066,320.070609
Selangor,2013,male,12611,410.4742375
Terengganu,2013,female,2685,491.6681926
Terengganu,2013,male,3739,659.0869029
W.P. Kuala Lumpur,2013,female,3066,363.6148008
W.P. Kuala Lumpur,2013,male,4117,467.7346058
W.P. Labuan,2013,female,100,222.7171492
W.P. Labuan,2013,male,145,311.827957
W.P. Putrajaya,2013,female,71,167.0588235
W.P. Putrajaya,2013,male,93,250.6738544
Johor,2014,female,7387,440.6466237
Johor,2014,male,10517,558.4050122
Kedah,2014,female,5613,552.2432113
Kedah,2014,male,7404,707.5688073
Kelantan,2014,female,4630,541.583811
Kelantan,2014,male,5958,685.9313838
Melaka,2014,female,2009,465.2616952
Melaka,2014,male,2719,618.0950216
Negeri Sembilan,2014,female,2729,524.6059208
Negeri Sembilan,2014,male,3681,658.0264569
Pahang,2014,female,3209,432.5380779
